"Destination","Type","Latitude","Longitude","Website Link","Image Link","ProximalBusStops"
"Bijin Nabe","Food",1.35643532,103.8355266,"https://www.tsukadanojosg.com/","https://scontent.cdninstagram.com/v/t51.29350-15/281260288_683753979348342_6338691270492507482_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=18de74&_nc_ohc=UOCmYoSkmWcAb7oVRUK&_nc_ht=scontent.cdninstagram.com&edm=ABbrh9MEAAAA&oh=00_AfBQJBD52J1WiD6N61V97BjCqefu-Mc3snnzkmqtG6-dZg&oe=66135C18","53189,53171,53049,53041,53509,53179"
"Pietrasanta The Italian Restaurant","Food",1.298849448,103.7887758,"https://casapietrasanta.com/","https://casapietrasanta.com/wp-content/uploads/2022/12/food-1024x896.jpg","18121,18129,18159,18149,18119,18051"
"Chef Wei HK Cheong Fun","Food",1.352133865,103.7245893,"https://www.facebook.com/chefweihkcheongfun/","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSCjoZ2PHcANZK8yzm0MY-nYJ1HX6IJD4pxBLjqoXqmKw&s","28511,28519,28571"
"Chuan Kee Boneless Braised Duck","Food",1.311271212,103.7887283,"https://guide.michelin.com/sg/en/singapore-region/singapore/restaurant/chuan-kee-boneless-braised-duck","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR2CcpPGlomIDzN9pki5BOTtt00R2mlqWG-Zbc-frLqvA&s","11001,11009,11191,11199,11379,11271,11279,11259"
"Greenwood Fish Market","Food",1.331978491,103.8067344,"https://www.greenwoodfishmarket.com/","https://www.greenwoodfishmarket.com/wp-content/gallery/quayside-isle/Cold-Seafood-Platter-Seaside.jpg",""
"Imperial Treasure Fine Teochew Cuisine","Food",1.304180268,103.8326705,"https://www.imperialtreasure.com/restaurant/ImperialTreasureFineTeochewCuisine-4","https://www.imperialtreasure.com/resources/album/imperial-treasure-fine-teochew-cuisine/Website_Gallery_Duck_1400X1400.png","09219,09179,09048,09022,09047,09023,09212"
"526 BBQ Seafood","Food",1.348019838,103.7177681,"https://www.facebook.com/526bbqseafood/","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRZdK2PVbGf4q_RKOW8q16u3RcRCTC5VLFn2C84wsMGIg&s","28099,28091,28531,28409,28399,28391,21459,28401,28411,21711,21719"
"Ghee Huat","Food",1.345836161,103.713715,"https://www.burpple.com/ghee-huat-fried-oyster","https://scontent.cdninstagram.com/v/t51.29350-15/255607824_2660503854245993_1545799734236998095_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=18de74&_nc_ohc=yIwnnZLTG0YAX_WgXSR&_nc_oc=Adgq-_G7b349aiHdGePDlQA3f75XZBR8XGCMuj8Ietf7LpxeoYmTXQ3ZmmNRYJDknwNg3VtL0jip-OOz5jJDo0hf&_nc_ht=scontent.cdninstagram.com&edm=ANo9K5cEAAAA&oh=00_AfCAvzGxiAs1j5902B8NERUQdt7lWhRbdFjn0NkNriUklA&oe=6613674E
https://scontent.cdninstagram.com/v/t51.29350-15/255607824_2660503854245993_1545799734236998095_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=18de74&_nc_ohc=yIwnnZLTG0YAX_WgXSR&_nc_oc=Adgq-_G7b349aiHdGePDlQA3f75XZBR8XGCMuj8Ietf7LpxeoYmTXQ3ZmmNRYJDknwNg3VtL0jip-OOz5jJDo0hf&_nc_ht=scontent.cdninstagram.com&edm=ANo9K5cEAAAA&oh=00_AfCAvzGxiAs1j5902B8NERUQdt7lWhRbdFjn0NkNriUklA&oe=6613674E
","21689,21681,28539,21421,21429,21441,21449,28411,21229"
"Li Bai","Food",1.312138064,103.8369556,"https://www.libaisaigon.com/en/","https://www.libaisaigon.com/en/resourcefiles/homeimages/dim-sum-at-li-bai.jpg","40179,40181,40041,40049"
"Ah Heng Curry Chicken Bee Hoon Mee","Food",1.285366026,103.8471466,"https://www.facebook.com/AhHengChickenCurryNoodles/","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ-Xv80Zzeg7fDr8Eiq0k4x8BAdcqEy52xA1LIjhvkpIw&s","05059,05023,05029,05022,03021,05049,05013,05199,05131,05129"
"Igokochi Dining Bar","Food",1.316259193,103.7582593,"https://www.igokochi.com.sg/","https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhJPgC5Nm-IZB6USAmlXN58F5veE7mi4nLJy9BHeA-OfxCzYFjiKx8LW6CbBidPbUzxyNbLb5AVHkIQ3-ciqjAdYNwEZNWj5Btj8HQTy8GIMusUjVsgWJS_hC5wz2vkrqO3aGchtqtIeTw/w640-h432/igokochi+dining+bar+singapore+restaurant+west+coast+newest+mall+3.jpg","20029,20021,20019,17059,20011"
"A-Roy Thai Restaurant","Food",1.320150268,103.8443475,"https://aroythai.com.sg/","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcToBUFWjjdB1qp0qfL83Za8xYB7MXY5XNNFjjJE_COCow&s","50119,50111,50038,50021,50037,50031"
"FeatherBlade","Food",1.278567522,103.8433329,"https://www.thefeatherblade.com/","https://therantingpanda.files.wordpress.com/2021/12/eimg_3050.jpg","05019,05521,05012,03223,05429,05421,05259,05519"
"Simei Penang Laksa Speciality","Food",1.34520319,103.731728,"https://singaporefoodie.com/simei-penang-laksa-specialty-at-yuhua-place/","https://burpple-2.imgix.net/foods/dc7bf44a71e2dd3f001731963_original.?w=420&dpr=1&fit=crop&q=80&auto=format","28461,28469,28359"
"Jia Mei Bakery","Food",1.308457247,103.8865908,"https://www.burpple.com/jia-mei-bakery","https://burpple-2.imgix.net/foods/60bd45ec1cb4dcec3ac1851412_original.?w=420&dpr=1&fit=crop&q=80&auto=format","81189,81171,81151,81159"
"Man Man Japanese Unagi Restaurant","Food",1.279043017,103.8420947,"https://manmanunagi.oddle.me/","https://scontent.cdninstagram.com/v/t51.29350-15/200872938_247943853759187_1381705352913083043_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=18de74&_nc_ohc=oyZwgWmZjEMAb4nGmpC&_nc_ht=scontent.cdninstagram.com&edm=ABbrh9MEAAAA&oh=00_AfCsAl2OK-kpYj0SfZXMWT2R5lejkwWjUxnfU4PF8x2u0Q&oe=66137B31","05019,05521,05069,05012,05429,05241,05239,05519,10018"
"Trattoria Nonna Lina","Food",1.27870537,103.8413938,"https://www.nonnalina.sg/","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcStYkqu7eDuzzlDkCIauds394tCbBemXnJTPt_Rp3zRiA&s","05019,10017,05521,05069,10018,05429,05241,05239,05519,10011,05012,06029"
"The Carving Board","Food",1.343804661,103.7386608,"https://thecarvingboard.oddle.me/","https://scontent.cdninstagram.com/v/t51.29350-15/175141343_913021739259103_5653948717814664188_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=18de74&_nc_ohc=EiF6v3dGSFsAb7mxQRH&_nc_ht=scontent.cdninstagram.com&edm=ABbrh9MEAAAA&oh=00_AfByBq0OmkrzMD5m1hL0JFipSl9vEhKMV8DtVSSuuojX-Q&oe=661348CB","28299,28291,43459,28331,28339,28289,28281,28459,43359"
