"BusStopCode","RoadName","Description","Latitude","Longitude"
"12021","Holland Rd","Bef Moonbeam Wk",1.31907638897016,103.782430556015
"12029","Holland Rd","Opp Moonbeam Wk",1.31958369390988,103.782439210915
"12031","Ulu Pandan Rd","Pandan Valley Condo",1.3208008510991,103.779628555217
"12039","Ulu Pandan Rd","Opp Pandan Valley Condo",1.32104526183447,103.780189983868
"12041","Ulu Pandan Rd","Aft Pandan Valley",1.32049172685895,103.776534421205
"12049","Ulu Pandan Rd","Opp Pandan Valley",1.32091131971837,103.776558889914
"12051","Ulu Pandan Rd","Pine Gr Condo",1.3204289505949,103.775061310541
"12059","Ulu Pandan Rd","Opp Pine Gr Condo",1.32072731097778,103.775158978338
"12061","Clementi Rd","Blk 109",1.32178500189496,103.770873398591
"12069","Clementi Rd","Opp Blk 109A",1.321433056,103.7710419
"12071","Clementi Rd","Blk 116",1.32402249998323,103.772193888966
"12079","Clementi Rd","Opp Blk 116",1.32383187575187,103.772630943757
"12081","Clementi Rd","Clementi N'hood Pk",1.326468056,103.77543
"12089","Clementi Rd","Opp Maju Camp",1.326261111,103.7757089
"12091","Clementi Rd","SIM Campus",1.32918315486756,103.777147116685
"12099","Clementi Rd","Opp SIM Campus",1.327838056,103.7767036
"12101","Clementi Rd","Ngee Ann Poly",1.33243896358504,103.777685063167
"12109","Clementi Rd","Opp Ngee Ann Poly",1.330819444,103.7780086
"12111","Ulu Pandan Rd","Bef Clementi Rd",1.3191179107649,103.772229807867
"12119","Ulu Pandan Rd","Police KINS Trg Camp",1.31964598192789,103.772792662814
"12121","Ghim Moh Rd","Blk 7",1.31164833301814,103.787151667032
"12129","Ghim Moh Rd","Blk 3",1.31182111096862,103.787326110992
"12131","Mt Sinai Rd","Aft Grove Ave",1.3141594439742,103.785061666981
"12139","Mt Sinai Rd","Aft Mt Sinai Lane",1.31453185933289,103.785041570686
"12141","Mt Sinai Rd","Opp Henry Pk",1.31574389841394,103.782391548191
"12149","Mt Sinai Rd","Henry Pk",1.31576900455367,103.782660991585
"12151","Moonbeam Walk","Bef Moonbeam Terr",1.31865064467378,103.781275749197
"12169","Pandan Valley","Pandan Valley",1.31916549240365,103.777241706879
"12179","Mt Sinai Rise","Montview",1.31679504687757,103.776994943613
"12189","Mt Sinai Rise","Bef Mt Sinai Dr",1.31642693680141,103.780224022431
"12199","Mt Sinai Rise","Opp Village Twr",1.31547998901343,103.778206224983
"12201","Clementi Ave 6","Logishub @ Clementi",1.32670826856501,103.763995095855
"12209","Clementi Ave 6","Opp Logishub @ Clementi",1.32653202760922,103.764299682206
