Destination,Type,Latitude,Longitude, Website Link, Image Link
Angus House,Food,1.302890795,103.8357169, https://restaurant.angushouse.com.sg/, https://sethlui.com/wp-content/uploads/2014/09/angus-house-08066027.jpg 
Ichikokudo Ramen,Food,1.295565438,103.8593439, https://www.ichikokudo.com/menu-shoyu, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS0hUDMzZH_BxW3UsiA8PvGNDj3zye3VONLnKKK2xjUnw&s 
D' Life,Food,1.351763917,103.7260114, http://order.dlife.com.sg/, https://s3-ap-southeast-1.amazonaws.com/getz-prod/7c534005-7a13-48cb-89cb-334ba8fcaa35/192743306_1717170936SeafoodThaiFishHeadCurry.jpeg 
Torasho Ramen & Charcoal Bar,Food,1.278822413,103.8445906, https://www.torasho.sg/, https://sethlui.com/wp-content/uploads/2020/03/Torasho-Ramen-Charcoal-Bar-17.jpg 
Tom's Palette,Food,1.297429539,103.8562081, https://www.tomspalette.com.sg/,https://scontent.cdninstagram.com/v/t51.29350-15/123214796_140576214458963_5651043468480134900_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=18de74&_nc_ohc=5tAMf7-8ONsAb5rLOxh&_nc_oc=AdhgUm6MZx2QiTePEn9KI7VYQDe8bzzE7vimgiM5odlsw95v6qDeH9QPqxu95ccWNuWFzF-bakSWg5wnwaVQC8cn&_nc_ht=scontent.cdninstagram.com&edm=ABbrh9MEAAAA&oh=00_AfAdZm4OhlL39s35MpYUfItRSA1O2h8cF6oUZ8QmnKpk7Q&oe=66137C17
Lolla,Food,1.281203748,103.845838, https://lolla.com.sg/, https://travelswithagourmet.files.wordpress.com/2015/08/pcasa-gt-singapore-lolla.jpg 
8 degrees,Food,1.361355515,103.8841895, https://8degrees.online/, https://burpple-1.imgix.net/foods/1695104644_review_image1976897_original.?w=400&h=400&fit=crop&q=80&auto=format 
Singapore Fried Hokkien Mee,Food,1.32330154,103.8544951, https://guide.michelin.com/sg/en/singapore-region/singapore/restaurant/singapore-fried-hokkien-mee, https://danielfooddiary.com/wp-content/uploads/2023/04/singaporehokkienmee1.JPG 
Lau Wang Claypot Delights,Food,1.35472829,103.8725473, https://lauwangclaypot.com/, https://lauwangclaypot.com/wp-content/uploads/2023/05/Our-Brand-Story-2-1024x722.png 
Mr and Mrs Mohgan's Super Crispy Roti Prata,Food,1.309909915,103.9028183, https://sethlui.com/mr-and-mrs-mohgans-super-crispy-prata-singapore/, https://sethlui.com/wp-content/uploads/2021/03/Mr-and-Mrs-Moghan-Super-Crispy-Prata.jpg 
